20110228
0000dff5.4d6ad027.01.01	0001bba8.0001afd5.4d6b377b.0001	2.5	USD	1.7976931348623157E308	null	20110228-19:30:36	0.0
00012be9.4d6c1ee4.01.01	0001bba8.0001afd5.4d6b3787.0001	2.5	USD	1.7976931348623157E308	null	20110228-23:15:00	62.5
00010cd0.4d6acdba.01.01	0001bba8.0001afd5.4d69df99.0001	2.5	USD	1.7976931348623157E308	null	20110228-06:25:00	-55.8
0000dff5.4d6acfd9.01.01	0001bba8.0001afd5.4d6b3579.0001	2.5	USD	1.7976931348623157E308	null	20110228-16:28:47	0.0
0000da93.4d6ada2d.01.01	0001bba8.0001afd5.4d6b3810.0001	2.5	USD	1.7976931348623157E308	null	20110228-20:31:44	0.0
00012be9.4d6ad4aa.01.01	0001bba8.0001afd5.4d6b34db.0001	2.5	USD	1.7976931348623157E308	null	20110228-17:50:00	8730.0
0000d344.9ad59b14.01.01	0001bba8.0001afd5.4d6b3859.0002	2.5	USD	1.7976931348623157E308	null	20110228-21:34:14	0.0
00012be9.4d6acec0.01.01	0001bba8.0001afd5.4d69df7d.0001	2.5	USD	1.7976931348623157E308	null	20110228-04:20:00	21.3
0000da93.4d6ad178.01.01	0001bba8.0001afd5.4d69df96.0001	2.5	USD	1.7976931348623157E308	null	20110228-00:58:16	0.0
00012be9.4d6ad5a4.01.01	0001bba8.0001afd5.4d6b37eb.0001	2.5	USD	1.7976931348623157E308	null	20110228-20:14:34	0.0
0000e10d.4d6acd67.01.01	0001bba8.0001afd5.4d6b3374.0001	2.5	USD	1.7976931348623157E308	null	20110228-12:54:05	0.0
0000f59b.9ad5993e.01.01	0001bba8.0001afd5.4d6b3780.0001	2.5	USD	1.7976931348623157E308	null	20110228-19:23:53	0.0
0000d30a.4d6ad97c.01.01	0001bba8.0001afd5.4d6b3524.0001	2.5	USD	1.7976931348623157E308	null	20110228-19:20:00	-57.6
00010cd0.4d6ad38d.01.01	0001bba8.0001afd5.4d6b37fb.0001	2.5	USD	1.7976931348623157E308	null	20110228-20:29:01	0.0
0000da93.4d6ad275.01.01	0001bba8.0001afd5.4d69df8a.0001	2.5	USD	1.7976931348623157E308	null	20110228-05:00:00	4200.0
0000d344.9ad59b16.01.01	0001bba8.0001afd5.4d6b3891.0001	2.5	USD	1.7976931348623157E308	null	20110228-21:45:22	0.0
0000f59b.9ad83b66.01.01	0001bba8.0001afd5.4d6b38b8.0001	2.5	USD	1.7976931348623157E308	null	20110228-22:40:27	0.0
0000da93.4d6ad24e.01.01	0001bba8.0001afd5.4d69df85.0001	2.5	USD	1.7976931348623157E308	null	20110228-04:30:00	23.8
0000d30a.4d6ace3d.01.01	0001bba8.0001afd5.4d69df9a.0001	2.5	USD	1.7976931348623157E308	null	20110228-01:22:54	0.0
0000d6a8.4d6ad2c1.01.01	0001bba8.0001afd5.4d6b32f2.0001	2.5	USD	1.7976931348623157E308	null	20110228-15:45:00	5850.0
0000e276.9ad59a64.01.01	0001bba8.0001afd5.4d6b3378.0001	2.5	USD	1.7976931348623157E308	null	20110228-18:35:00	-1650.0
00012ff6.9ad599eb.01.01	0001bba8.0001afd5.4d6b34df.0002	2.5	USD	1.7976931348623157E308	null	20110228-15:44:51	0.0
0000da93.4d6ad2ee.01.01	0001bba8.0001afd5.4d69df9d.0001	2.5	USD	1.7976931348623157E308	null	20110228-06:45:00	110.8
0000f59b.9ad598f1.01.01	0001bba8.0001afd5.4d6b32e9.0001	2.5	USD	1.7976931348623157E308	null	20110228-11:12:55	0.0
0000da93.4d6ad677.01.01	0001bba8.0001afd5.4d6b3338.0001	2.5	USD	1.7976931348623157E308	null	20110228-13:20:03	0.0
00012be9.4d6ad606.01.01	0001bba8.0001afd5.4d6b3582.0001	2.5	USD	1.7976931348623157E308	null	20110228-21:40:00	-29.7
0000e272.9ad59aa8.01.01	0001bba8.0001afd5.4d6b3783.0001	2.5	USD	1.7976931348623157E308	null	20110228-19:26:42	0.0
