20110120
0000d344.9a6ec95d.01.01	0001bba8.0001afd5.4d37cccc.0001	2.5	USD	1.7976931348623157E308	null	20110120-21:15:17	0.0
0000d30a.4d37698f.01.01	0001bba8.0001afd5.4d367cad.0001	2.5	USD	1.7976931348623157E308	null	20110120-10:30:00	-13.2
00012be9.4d37658f.01.01	0001bba8.0001afd5.4d367c03.0001	2.5	USD	1.7976931348623157E308	null	20110120-03:25:00	57.6
0000dff5.4d376356.01.01	0001bba8.0001afd5.4d367c2b.0001	2.5	USD	1.7976931348623157E308	null	20110120-04:55:00	-300.0
00010cd0.4d376f63.01.01	0001bba8.0001afd5.4d37cc78.0001	2.5	USD	1.7976931348623157E308	null	20110120-20:29:41	0.0
00012ff5.9a6ec574.01.01	0001bba8.0001afd5.4d37cbd3.0001	2.5	USD	1.7976931348623157E308	null	20110120-18:43:53	0.0
00012ff6.9a6ec76f.01.01	0001bba8.0001afd5.4d37cc7d.0001	2.5	USD	1.7976931348623157E308	null	20110120-20:47:27	0.0
0000d344.9a6ec3e6.01.01	0001bba8.0001afd5.4d367c05.0001	2.5	USD	1.7976931348623157E308	null	20110120-00:13:48	0.0
0001246d.9a6ec8b5.01.01	0001bba8.0001afd5.4d37c831.0001	2.5	USD	1.7976931348623157E308	null	20110120-11:00:05	0.0
0000d6a8.4d3391e6.01.01	0001bba8.0001afd5.4d367c0b.0001	2.5	USD	1.7976931348623157E308	null	20110120-05:00:00	7.9
00012be9.4d38b4a0.01.01	0001bba8.0001afd5.4d37cc1a.0001	2.5	USD	1.7976931348623157E308	null	20110120-23:30:00	25.0
0000d30a.4d38b417.01.01	0001bba8.0001afd5.4d37cd3c.0001	2.5	USD	1.7976931348623157E308	null	20110120-23:29:31	0.0
00012be9.4d38b4d4.01.01	0001bba8.0001afd5.4d37cc1b.0001	2.5	USD	1.7976931348623157E308	null	20110120-23:55:01	14.1
00012ff5.9a6ec58c.01.01	0001bba8.0001afd5.4d37ccc4.0001	2.5	USD	1.7976931348623157E308	null	20110120-21:51:25	0.0
00012be9.4d3770e0.01.01	0001bba8.0001afd5.4d37ccc6.0001	2.5	USD	1.7976931348623157E308	null	20110120-21:13:52	0.0
0000d30a.4d3764ad.01.01	0001bba8.0001afd5.4d367ca8.0001	2.5	USD	1.7976931348623157E308	null	20110120-04:57:31	0.0
0000ecb4.4d37640d.01.01	0001bba8.0001afd5.4d37c828.0001	2.5	USD	1.7976931348623157E308	null	20110120-10:52:59	0.0
0000d344.9a6ec922.01.01	0001bba8.0001afd5.4d37cc76.0001	2.5	USD	1.7976931348623157E308	null	20110120-20:27:26	0.0
0000da93.4d339eb5.01.01	0001bba8.0001afd5.4d37c82b.0001	2.5	USD	1.7976931348623157E308	null	20110120-12:18:48	0.0
0000d344.9a6ec897.01.01	0001bba8.0001afd5.4d37cbda.0001	2.5	USD	1.7976931348623157E308	null	20110120-18:57:42	0.0
0000d30a.4d37756f.01.01	0001bba8.0001afd5.4d37ccd0.0002	2.5	USD	1.7976931348623157E308	null	20110120-21:21:32	0.0
00012ff6.9a6ec731.01.01	0001bba8.0001afd5.4d37cbe6.0001	2.5	USD	1.7976931348623157E308	null	20110120-18:56:17	0.0
00010cd0.4d376f62.01.01	0001bba8.0001afd5.4d37cc7a.0001	2.5	USD	1.7976931348623157E308	null	20110120-20:29:40	0.0
0000da93.4d339b6a.01.01	0001bba8.0001afd5.4d367c02.0001	2.5	USD	1.7976931348623157E308	null	20110120-03:45:00	-2340.0
